Anonym_DAYS_BIRTH,Anonym_DAYS_EMPLOYED,Anonym_OCCUPATION_TYPE,Anonym_NAME_INCOME_TYPE,prediction
[(-24575)-(-9270)],[(-13415)-365243],Employee,Unique earnings,83
[(-24166)-(-8209)],[(-11693)-365243],Employee,Unique earnings,53
[(-24589)-(-8655)],[(-10777)-365243],Employee,Unique earnings,78
[(-24691)-(-8843)],[(-10936)-365243],Employee,Unique earnings,58
[(-24831)-(-9087)],[(-6610)-365243],Employee,Unique earnings,51
[(-24831)-(-8696)],[(-11589)-365243],Employee,Unique earnings,20
[(-24831)-(-9387)],[(-10110)-365243],Employee,Unique earnings,43
[(-23646)-(-8533)],[(-11589)-365243],Employee,Unique earnings,68
[(-24691)-(-8527)],[(-13415)-365243],Employee,Unique earnings,46
[(-23442)-(-8477)],[(-10236)-365243],Employee,Unique earnings,52
[(-24202)-(-8696)],[(-8410)-365243],Employee,Unique earnings,49
[(-23442)-(-8527)],[(-13699)-365243],Employee,Unique earnings,65
[(-24691)-(-9115)],[(-11202)-365243],Employee,Unique earnings,91
[(-24831)-(-8696)],[(-11589)-365243],Employee,Unique earnings,20
[(-23868)-(-8231)],[(-13382)-365243],Employee,Unique earnings,62
[(-23751)-(-8562)],[(-11589)-365243],Employee,Unique earnings,80
[(-23751)-(-8562)],[(-11589)-365243],Employee,Unique earnings,80
[(-24691)-(-9746)],[(-9748)-365243],Employee,Unique earnings,3
[(-24278)-(-8993)],[(-12253)-365243],Employee,Unique earnings,67
[(-24878)-(-9417)],[(-8707)-365243],Employee,Unique earnings,1
[(-23886)-(-8843)],[(-10236)-365243],Employee,Unique earnings,88
[(-24278)-(-8861)],[(-10236)-365243],Employee,Unique earnings,55
[(-24166)-(-8209)],[(-11693)-365243],Employee,Unique earnings,53
[(-24831)-(-8351)],[(-11693)-365243],Employee,Unique earnings,36
[(-24589)-(-8655)],[(-10777)-365243],Employee,Unique earnings,78
[(-25140)-(-9187)],[(-13415)-365243],Employee,Unique earnings,41
[(-24691)-(-8655)],[(-9485)-365243],Employee,Unique earnings,5
[(-24831)-(-9087)],[(-6610)-365243],Employee,Unique earnings,51
[(-23868)-(-8231)],[(-13382)-365243],Employee,Unique earnings,62
[(-24278)-(-9235)],[(-11589)-365243],Employee,Unique earnings,71
[(-24878)-(-8993)],[(-12032)-365243],Employee,Unique earnings,32
[(-24831)-(-8182)],[(-12032)-365243],Employee,Unique earnings,25
[(-24691)-(-9461)],[(-12621)-365243],Employee,Unique earnings,33
[(-24166)-(-8179)],[(-6791)-365243],Employee,Unique earnings,16
[(-24166)-(-8482)],[(-13415)-365243],Employee,Unique earnings,27
[(-23868)-(-8533)],[(-9748)-365243],Employee,Unique earnings,47
[(-23886)-(-9839)],[(-9559)-365243],Employee,Unique earnings,92
[(-23641)-(-8488)],[(-11693)-365243],Employee,Unique earnings,35
[(-24831)-(-8041)],[(-11589)-365243],Employee,Unique earnings,48
[(-24629)-(-9190)],[(-9559)-365243],Employee,Unique earnings,31
[(-24206)-(-7489)],[(-10936)-365243],Employee,Unique earnings,18
[(-24691)-(-9115)],[(-11202)-365243],Employee,Unique earnings,91
[(-24691)-(-9461)],[(-12621)-365243],Employee,Unique earnings,33
[(-25140)-(-8111)],[(-10777)-365243],Employee,Unique earnings,60
[(-23886)-(-9080)],[(-10777)-365243],Employee,Unique earnings,2
[(-24691)-(-9380)],[(-13382)-365243],Employee,Unique earnings,32
[(-24878)-(-9154)],[(-12032)-365243],Employee,Unique earnings,50
[(-24691)-(-8475)],[(-14338)-365243],Employee,Unique earnings,90
[(-24589)-(-8655)],[(-10777)-365243],Employee,Unique earnings,78
[(-23646)-(-8655)],[(-8684)-365243],Employee,Unique earnings,74
[(-24878)-(-8489)],[(-12621)-365243],Employee,Unique earnings,64
[(-22985)-(-9430)],[(-10079)-365243],Employee,Unique earnings,44
[(-24831)-(-8351)],[(-11693)-365243],Employee,Unique earnings,36
[(-24629)-(-9190)],[(-9559)-365243],Employee,Unique earnings,31
[(-24166)-(-8482)],[(-13415)-365243],Employee,Unique earnings,27
[(-24589)-(-8041)],[(-10936)-365243],Employee,Unique earnings,58
[(-24202)-(-8603)],[(-13382)-365243],Employee,Unique earnings,10
[(-23886)-(-9080)],[(-10777)-365243],Employee,Unique earnings,2
[(-24691)-(-8477)],[(-9748)-365243],Employee,Unique earnings,30
[(-24691)-(-8655)],[(-9485)-365243],Employee,Unique earnings,5
[(-23303)-(-8182)],[(-7465)-365243],Employee,Unique earnings,37
[(-24831)-(-8520)],[(-10936)-365243],Employee,Unique earnings,9
[(-24878)-(-9154)],[(-12032)-365243],Employee,Unique earnings,50
[(-24589)-(-8488)],[(-12591)-365243],Employee,Unique earnings,38
[(-24482)-(-9080)],[(-8859)-365243],Employee,Unique earnings,81
[(-24278)-(-8893)],[(-12621)-365243],Employee,Unique earnings,75
[(-23886)-(-9839)],[(-9559)-365243],Employee,Unique earnings,92
[(-24831)-(-8182)],[(-12032)-365243],Employee,Unique earnings,25
[(-24691)-(-9190)],[(-13415)-365243],Employee,Unique earnings,28
[(-23442)-(-8477)],[(-10236)-365243],Employee,Unique earnings,52
[(-24831)-(-8041)],[(-11589)-365243],Employee,Unique earnings,48
[(-24831)-(-8041)],[(-11202)-365243],Employee,Unique earnings,8
[(-24831)-(-8041)],[(-11589)-365243],Employee,Unique earnings,48
[(-23768)-(-8520)],[(-10361)-365243],Employee,Unique earnings,45
[(-24831)-(-8781)],[(-10777)-365243],Employee,Unique earnings,19
[(-23646)-(-8488)],[(-14338)-365243],Employee,Unique earnings,84
[(-24589)-(-8488)],[(-12591)-365243],Employee,Unique earnings,38
[(-23646)-(-8533)],[(-11589)-365243],Employee,Unique earnings,68
[(-23886)-(-9080)],[(-10777)-365243],Employee,Unique earnings,2
[(-24278)-(-8993)],[(-12253)-365243],Employee,Unique earnings,67
[(-25140)-(-8657)],[(-9870)-365243],Employee,Unique earnings,63
[(-23303)-(-8182)],[(-7465)-365243],Employee,Unique earnings,37
[(-24831)-(-9387)],[(-10110)-365243],Employee,Unique earnings,43
[(-24311)-(-8655)],[(-12253)-365243],Employee,Unique earnings,33
[(-24311)-(-8655)],[(-12253)-365243],Employee,Unique earnings,33
[(-24202)-(-8696)],[(-8410)-365243],Employee,Unique earnings,49
[(-24202)-(-8696)],[(-8410)-365243],Employee,Unique earnings,49
[(-22985)-(-9430)],[(-10079)-365243],Employee,Unique earnings,44
[(-24691)-(-9461)],[(-12621)-365243],Employee,Unique earnings,33
