id,Anonym_DAYS_BIRTH,Anonym_DAYS_EMPLOYED,Anonym_OCCUPATION_TYPE,Anonym_CODE_GENDER,Anonym_NAME_INCOME_TYPE,Anonym_NAME_EDUCATION_TYPE,Anonym_NAME_FAMILY_STATUS,Anonym_NAME_HOUSING_TYPE,AMT_INCOME_TOTAL
1,[(-24575)-(-9270)],[(-13415)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,427500
2,[(-24166)-(-8209)],[(-11693)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,427500
3,[(-24589)-(-8655)],[(-10777)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
4,[(-24691)-(-8843)],[(-10936)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
5,[(-24831)-(-9087)],[(-6610)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
6,[(-24831)-(-8696)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
7,[(-24831)-(-9387)],[(-10110)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
8,[(-23646)-(-8533)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,283500
9,[(-24691)-(-8527)],[(-13415)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,283500
10,[(-23442)-(-8477)],[(-10236)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,283500
11,[(-24202)-(-8696)],[(-8410)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
12,[(-23442)-(-8527)],[(-13699)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
13,[(-24691)-(-9115)],[(-11202)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
14,[(-24831)-(-8696)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
15,[(-23868)-(-8231)],[(-13382)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
16,[(-23751)-(-8562)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
17,[(-23751)-(-8562)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
18,[(-24691)-(-9746)],[(-9748)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
19,[(-24278)-(-8993)],[(-12253)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,135000
20,[(-24878)-(-9417)],[(-8707)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,130500
21,[(-23886)-(-8843)],[(-10236)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,130500
22,[(-24278)-(-8861)],[(-10236)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,157500
23,[(-24166)-(-8209)],[(-11693)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,157500
24,[(-24831)-(-8351)],[(-11693)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,157500
25,[(-24589)-(-8655)],[(-10777)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
26,[(-25140)-(-9187)],[(-13415)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
27,[(-24691)-(-8655)],[(-9485)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
28,[(-24831)-(-9087)],[(-6610)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
29,[(-23868)-(-8231)],[(-13382)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,270000
30,[(-24278)-(-9235)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
31,[(-24878)-(-8993)],[(-12032)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
32,[(-24831)-(-8182)],[(-12032)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
33,[(-24691)-(-9461)],[(-12621)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
34,[(-24166)-(-8179)],[(-6791)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
35,[(-24166)-(-8482)],[(-13415)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,405000
36,[(-23868)-(-8533)],[(-9748)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
37,[(-23886)-(-9839)],[(-9559)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
38,[(-23641)-(-8488)],[(-11693)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
39,[(-24831)-(-8041)],[(-11589)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
40,[(-24629)-(-9190)],[(-9559)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
41,[(-24206)-(-7489)],[(-10936)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
42,[(-24691)-(-9115)],[(-11202)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
43,[(-24691)-(-9461)],[(-12621)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
44,[(-25140)-(-8111)],[(-10777)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
45,[(-23886)-(-9080)],[(-10777)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
46,[(-24691)-(-9380)],[(-13382)-365243],Employee,Adult,Unique earnings,Educated,Unique status,Unique housing,112500
