id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL,Cluster
6685,-24737,365243,"",F,Pensioner,Higher education,Widow,House / apartment,90000,Cluster 1
568,-23480,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,76500,Cluster 1
605,-13241,-4451,"",F,Commercial associate,Higher education,Married,House / apartment,180000,Cluster 1
891,-11813,-3266,Sales staff,F,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
1135,-10304,-1682,Laborers,F,Commercial associate,Secondary / secondary special,Married,House / apartment,225000,Cluster 1
1145,-22578,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,166500,Cluster 1
1561,-10145,-1682,Sales staff,F,Working,Higher education,Married,House / apartment,121500,Cluster 1
2041,-22319,365243,"",F,Pensioner,Lower secondary,Married,House / apartment,90000,Cluster 1
2180,-16896,-248,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,270000,Cluster 1
2353,-19271,-4839,Core staff,F,Working,Higher education,Married,House / apartment,202500,Cluster 1
2420,-21269,365243,"",F,Pensioner,Higher education,Married,House / apartment,360000,Cluster 1
2448,-11701,-3262,"",M,Working,Higher education,Married,House / apartment,157500,Cluster 1
2457,-22831,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,144000,Cluster 1
2705,-22212,365243,"",F,Pensioner,Higher education,Married,House / apartment,67500,Cluster 1
3286,-10144,-825,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
3296,-12022,-1674,Laborers,M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,202500,Cluster 1
3458,-17262,-1617,Core staff,M,Working,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
3834,-12997,-5469,"",M,Working,Secondary / secondary special,Married,Rented apartment,225000,Cluster 1
3908,-24278,365243,"",M,Pensioner,Secondary / secondary special,Married,House / apartment,81000,Cluster 1
4288,-19082,-377,IT staff,M,Commercial associate,Higher education,Married,With parents,202500,Cluster 1
4522,-14874,-2407,Core staff,F,Working,Secondary / secondary special,Separated,House / apartment,135000,Cluster 1
4557,-21922,365243,"",F,Pensioner,Secondary / secondary special,Married,House / apartment,202500,Cluster 1
4713,-11380,-1007,Accountants,F,Working,Higher education,Married,With parents,180000,Cluster 1
4923,-8520,-550,Medicine staff,F,State servant,Secondary / secondary special,Single / not married,With parents,76500,Cluster 1
4981,-10186,-2315,Medicine staff,F,Commercial associate,Secondary / secondary special,Married,House / apartment,135000,Cluster 1
5053,-14071,-3806,Laborers,M,Working,Secondary / secondary special,Married,House / apartment,112500,Cluster 1
5188,-15562,-7824,Laborers,M,Working,Secondary / secondary special,Married,With parents,135000,Cluster 1
5453,-9950,-427,Sales staff,F,Working,Secondary / secondary special,Single / not married,House / apartment,180000,Cluster 1
