id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,NAME_INCOME_TYPE,prediction
1,-12005,-4542,"",Working,1.0
2,-12005,-4542,"",Working,1.0
3,-21474,-1134,Security staff,Working,1.0
4,-19110,-3051,Sales staff,Commercial associate,1.0
5,-19110,-3051,Sales staff,Commercial associate,1.0
6,-19110,-3051,Sales staff,Commercial associate,1.0
7,-19110,-3051,Sales staff,Commercial associate,1.0
8,-22464,365243,"",Pensioner,0.0
9,-22464,365243,"",Pensioner,0.0
10,-22464,365243,"",Pensioner,0.0
11,-16872,-769,Accountants,Working,1.0
12,-16872,-769,Accountants,Working,1.0
13,-16872,-769,Accountants,Working,1.0
14,-17778,-1194,Laborers,Commercial associate,0.0
15,-17778,-1194,Laborers,Commercial associate,0.0
16,-17778,-1194,Laborers,Commercial associate,0.0
17,-17778,-1194,Laborers,Commercial associate,0.0
18,-17778,-1194,Laborers,Commercial associate,0.0
19,-17778,-1194,Laborers,Commercial associate,0.0
20,-10669,-1103,Accountants,Working,1.0
21,-10669,-1103,Accountants,Working,1.0
22,-10031,-1469,Laborers,Working,1.0
23,-10031,-1469,Laborers,Working,1.0
24,-10031,-1469,Laborers,Working,1.0
25,-10968,-1620,"",Working,1.0
26,-10968,-1620,"",Working,1.0
27,-10968,-1620,"",Working,1.0
28,-12689,-1163,Laborers,Working,1.0
29,-12689,-1163,Laborers,Working,1.0
30,-11842,-2016,Managers,Commercial associate,1.0
31,-11842,-2016,Managers,Commercial associate,1.0
32,-11842,-2016,Managers,Commercial associate,1.0
33,-11842,-2016,Managers,Commercial associate,1.0
34,-11842,-2016,Managers,Commercial associate,1.0
35,-11842,-2016,Managers,Commercial associate,1.0
36,-20502,-4450,Drivers,Commercial associate,1.0
37,-20502,-4450,Drivers,Commercial associate,1.0
38,-20502,-4450,Drivers,Commercial associate,1.0
39,-20502,-4450,Drivers,Commercial associate,1.0
40,-20502,-4450,Drivers,Commercial associate,1.0
41,-20502,-4450,Drivers,Commercial associate,1.0
42,-20502,-4450,Drivers,Commercial associate,1.0
43,-20502,-4450,Drivers,Commercial associate,1.0
44,-20502,-4450,Drivers,Commercial associate,1.0
45,-20502,-4450,Drivers,Commercial associate,1.0
46,-20502,-4450,Drivers,Commercial associate,1.0
47,-15761,-3173,Laborers,Working,1.0
48,-15761,-3173,Laborers,Working,1.0
49,-15761,-3173,Laborers,Working,1.0
50,-15761,-3173,Laborers,Working,1.0
51,-15761,-3173,Laborers,Working,1.0
52,-15761,-3173,Laborers,Working,1.0
53,-15761,-3173,Laborers,Working,1.0
54,-15761,-3173,Laborers,Working,1.0
55,-15761,-3173,Laborers,Working,1.0
56,-15761,-3173,Laborers,Working,1.0
57,-15761,-3173,Laborers,Working,1.0
58,-15761,-3173,Laborers,Working,1.0
59,-15761,-3173,Laborers,Working,1.0
60,-15761,-3173,Laborers,Working,1.0
61,-15761,-3173,Laborers,Working,1.0
62,-15761,-3173,Laborers,Working,1.0
63,-16212,-7099,Core staff,State servant,1.0
64,-16212,-7099,Core staff,State servant,1.0
65,-16670,-5364,Security staff,Commercial associate,1.0
66,-16670,-5364,Security staff,Commercial associate,1.0
67,-12411,-1773,Managers,Commercial associate,1.0
68,-12411,-1773,Managers,Commercial associate,1.0
69,-12411,-1773,Managers,Commercial associate,1.0
70,-12411,-1773,Managers,Commercial associate,1.0
71,-12411,-1773,Managers,Commercial associate,1.0
72,-12411,-1773,Managers,Commercial associate,1.0
73,-12411,-1773,Managers,Commercial associate,1.0
74,-12411,-1773,Managers,Commercial associate,1.0
75,-12411,-1773,Managers,Commercial associate,1.0
76,-12411,-1773,Managers,Commercial associate,1.0
77,-20186,365243,"",Pensioner,0.0
78,-17016,-1347,Core staff,Commercial associate,1.0
79,-17016,-1347,Core staff,Commercial associate,1.0
80,-17016,-1347,Core staff,Commercial associate,1.0
81,-17016,-1347,Core staff,Commercial associate,1.0
82,-15519,-3234,Laborers,Commercial associate,1.0
83,-15519,-3234,Laborers,Commercial associate,1.0
84,-15519,-3234,Laborers,Commercial associate,1.0
85,-15519,-3234,Laborers,Commercial associate,1.0
86,-15519,-3234,Laborers,Commercial associate,1.0
87,-15519,-3234,Laborers,Commercial associate,1.0
88,-15519,-3234,Laborers,Commercial associate,1.0
89,-15519,-3234,Laborers,Commercial associate,1.0
90,-15519,-3234,Laborers,Commercial associate,1.0
91,-15519,-3234,Laborers,Commercial associate,1.0
92,-15519,-3234,Laborers,Commercial associate,1.0
93,-15519,-3234,Laborers,Commercial associate,1.0
94,-15519,-3234,Laborers,Commercial associate,1.0
95,-15519,-3234,Laborers,Commercial associate,1.0
96,-15519,-3234,Laborers,Commercial associate,1.0
97,-15519,-3234,Laborers,Commercial associate,1.0
98,-15519,-3234,Laborers,Commercial associate,1.0
99,-15519,-3234,Laborers,Commercial associate,1.0
100,-15519,-3234,Laborers,Commercial associate,1.0
101,-15519,-3234,Laborers,Commercial associate,1.0
102,-15519,-3234,Laborers,Commercial associate,1.0
103,-15519,-3234,Laborers,Commercial associate,1.0
104,-15519,-3234,Laborers,Commercial associate,1.0
105,-15519,-3234,Laborers,Commercial associate,1.0
106,-15519,-3234,Laborers,Commercial associate,1.0
107,-15519,-3234,Laborers,Commercial associate,1.0
108,-15519,-3234,Laborers,Commercial associate,1.0
109,-15519,-3234,Laborers,Commercial associate,1.0
110,-15519,-3234,Laborers,Commercial associate,1.0
111,-15519,-3234,Laborers,Commercial associate,1.0
112,-15519,-3234,Laborers,Commercial associate,1.0
113,-15519,-3234,Laborers,Commercial associate,1.0
114,-15519,-3234,Laborers,Commercial associate,1.0
115,-15519,-3234,Laborers,Commercial associate,1.0
116,-15519,-3234,Laborers,Commercial associate,1.0
117,-15519,-3234,Laborers,Commercial associate,1.0
118,-15519,-3234,Laborers,Commercial associate,1.0
119,-15519,-3234,Laborers,Commercial associate,1.0
120,-15519,-3234,Laborers,Commercial associate,1.0
121,-15519,-3234,Laborers,Commercial associate,1.0
122,-15519,-3234,Laborers,Commercial associate,1.0
123,-15519,-3234,Laborers,Commercial associate,1.0
124,-15519,-3234,Laborers,Commercial associate,1.0
125,-15519,-3234,Laborers,Commercial associate,1.0
126,-15519,-3234,Laborers,Commercial associate,1.0
127,-15519,-3234,Laborers,Commercial associate,1.0
128,-15519,-3234,Laborers,Commercial associate,1.0
129,-15519,-3234,Laborers,Commercial associate,1.0
130,-15519,-3234,Laborers,Commercial associate,1.0
131,-15519,-3234,Laborers,Commercial associate,1.0
132,-15519,-3234,Laborers,Commercial associate,1.0
133,-15519,-3234,Laborers,Commercial associate,1.0
134,-15519,-3234,Laborers,Commercial associate,1.0
135,-15519,-3234,Laborers,Commercial associate,1.0
136,-13642,-4846,High skill tech staff,Commercial associate,1.0
137,-13642,-4846,High skill tech staff,Commercial associate,1.0
138,-13642,-4846,High skill tech staff,Commercial associate,1.0
139,-13642,-4846,High skill tech staff,Commercial associate,1.0
140,-13642,-4846,High skill tech staff,Commercial associate,1.0
141,-15484,-1408,Drivers,Working,1.0
142,-15484,-1408,Drivers,Working,1.0
143,-15484,-1408,Drivers,Working,1.0
144,-15484,-1408,Drivers,Working,1.0
145,-10321,-2808,"",Working,0.0
146,-10321,-2808,"",Working,0.0
147,-10321,-2808,"",Working,0.0
148,-10321,-2808,"",Working,0.0
149,-17785,-1712,Laborers,Working,1.0
150,-17785,-1712,Laborers,Working,1.0
151,-17785,-1712,Laborers,Working,1.0
152,-17785,-1712,Laborers,Working,1.0
153,-17785,-1712,Laborers,Working,1.0
154,-17785,-1712,Laborers,Working,1.0
155,-17785,-1712,Laborers,Working,1.0
156,-17785,-1712,Laborers,Working,1.0
157,-16027,-889,"",Working,0.0
158,-16027,-889,"",Working,0.0
159,-16027,-889,"",Working,0.0
160,-16027,-889,"",Working,0.0
161,-22319,365243,"",Pensioner,0.0
162,-22319,365243,"",Pensioner,0.0
163,-22319,365243,"",Pensioner,0.0
164,-22319,365243,"",Pensioner,0.0
165,-22319,365243,"",Pensioner,0.0
166,-22319,365243,"",Pensioner,0.0
167,-22319,365243,"",Pensioner,0.0
168,-20874,-2381,Drivers,State servant,1.0
169,-20874,-2381,Drivers,State servant,1.0
170,-20874,-2381,Drivers,State servant,1.0
171,-20874,-2381,Drivers,State servant,1.0
172,-20874,-2381,Drivers,State servant,1.0
173,-20874,-2381,Drivers,State servant,1.0
174,-20874,-2381,Drivers,State servant,1.0
175,-16582,-1194,Cleaning staff,Working,0.0
176,-16582,-1194,Cleaning staff,Working,0.0
177,-16582,-1194,Cleaning staff,Working,0.0
178,-16582,-1194,Cleaning staff,Working,0.0
179,-16582,-1194,Cleaning staff,Working,0.0
180,-16582,-1194,Cleaning staff,Working,0.0
181,-16582,-1194,Cleaning staff,Working,0.0
182,-10628,-828,Managers,Working,0.0
183,-10628,-828,Managers,Working,0.0
184,-9927,-828,Drivers,Working,1.0
185,-9927,-828,Drivers,Working,1.0
186,-18926,-6276,Laborers,Working,1.0
187,-18926,-6276,Laborers,Working,1.0
188,-18926,-6276,Laborers,Working,1.0
189,-18926,-6276,Laborers,Working,1.0
190,-18926,-6276,Laborers,Working,1.0
191,-18926,-6276,Laborers,Working,1.0
192,-18926,-6276,Laborers,Working,1.0
193,-18926,-6276,Laborers,Working,1.0
194,-18926,-6276,Laborers,Working,1.0
195,-18926,-6276,Laborers,Working,1.0
196,-18926,-6276,Laborers,Working,1.0
197,-18926,-6276,Laborers,Working,1.0
198,-18926,-6276,Laborers,Working,1.0
199,-18926,-6276,Laborers,Working,1.0
200,-15444,-3112,"",State servant,1.0
201,-15444,-3112,"",State servant,1.0
202,-15444,-3112,"",State servant,1.0
203,-15444,-3112,"",State servant,1.0
204,-15444,-3112,"",State servant,1.0
205,-15444,-3112,"",State servant,1.0
206,-15444,-3112,"",State servant,1.0
207,-15444,-3112,"",State servant,1.0
208,-15444,-3112,"",State servant,1.0
209,-15444,-3112,"",State servant,1.0
210,-19861,-10843,Laborers,Commercial associate,1.0
211,-19861,-10843,Laborers,Commercial associate,1.0
212,-14450,-2777,Laborers,Commercial associate,1.0
213,-14450,-2777,Laborers,Commercial associate,1.0
214,-10554,-1194,Accountants,Working,0.0
215,-10554,-1194,Accountants,Working,0.0
216,-10554,-1194,Accountants,Working,0.0
217,-18682,365243,"",Pensioner,0.0
218,-18682,365243,"",Pensioner,0.0
219,-18682,365243,"",Pensioner,0.0
220,-18682,365243,"",Pensioner,0.0
221,-18682,365243,"",Pensioner,0.0
222,-18682,365243,"",Pensioner,0.0
223,-14326,-555,Core staff,Working,1.0
224,-14326,-555,Core staff,Working,1.0
225,-17641,-889,Core staff,Working,0.0
226,-17641,-889,Core staff,Working,0.0
227,-17641,-889,Core staff,Working,0.0
228,-17641,-889,Core staff,Working,0.0
229,-17641,-889,Core staff,Working,0.0
230,-17641,-889,Core staff,Working,0.0
231,-17641,-889,Core staff,Working,0.0
232,-10997,-2289,Core staff,Working,0.0
233,-10997,-2289,Core staff,Working,0.0
234,-10997,-2289,Core staff,Working,0.0
235,-10997,-2289,Core staff,Working,0.0
236,-10997,-2289,Core staff,Working,0.0
237,-8861,-889,Drivers,Working,0.0
238,-8861,-889,Drivers,Working,0.0
239,-7489,-797,Private service staff,Commercial associate,1.0
240,-22331,365243,"",Pensioner,0.0
241,-10450,-2077,Sales staff,Working,1.0
242,-10450,-2077,Sales staff,Working,1.0
243,-10450,-2077,Sales staff,Working,1.0
244,-10450,-2077,Sales staff,Working,1.0
245,-10450,-2077,Sales staff,Working,1.0
246,-10450,-2077,Sales staff,Working,1.0
247,-10450,-2077,Sales staff,Working,1.0
248,-10450,-2077,Sales staff,Working,1.0
249,-10450,-2077,Sales staff,Working,1.0
250,-10264,-3173,High skill tech staff,Commercial associate,0.0
251,-10264,-3173,High skill tech staff,Commercial associate,0.0
252,-10264,-3173,High skill tech staff,Commercial associate,0.0
253,-17726,-708,Core staff,State servant,1.0
254,-17726,-708,Core staff,State servant,1.0
255,-14122,-1286,Drivers,Working,1.0
256,-10064,-3173,Laborers,Working,0.0
257,-10064,-3173,Laborers,Working,0.0
258,-10064,-3173,Laborers,Working,0.0
259,-20531,-5730,Drivers,Working,1.0
260,-20531,-5730,Drivers,Working,1.0
261,-20531,-5730,Drivers,Working,1.0
262,-20531,-5730,Drivers,Working,1.0
263,-14730,-2989,Laborers,Commercial associate,1.0
264,-14730,-2989,Laborers,Commercial associate,1.0
265,-14730,-2989,Laborers,Commercial associate,1.0
266,-14730,-2989,Laborers,Commercial associate,1.0
267,-12628,-4025,Drivers,Working,1.0
268,-12197,-1194,Managers,Working,0.0
269,-12197,-1194,Managers,Working,0.0
270,-12197,-1194,Managers,Working,0.0
271,-12197,-1194,Managers,Working,0.0
272,-13679,-4391,Accountants,Commercial associate,1.0
273,-13679,-4391,Accountants,Commercial associate,1.0
