id,age,race,sex,workclass,income,max_age,min_age,Cluster
3625,71,White,Female,Self-emp-not-inc,<=50K,71,71,Cluster 57
3588,54,White,Female,Private,<=50K,54,54,Cluster 124
1846,45,Black,Male,Federal-gov,<=50K,45,45,Cluster 288
2852,20,White,Female,State-gov,<=50K,20,20,Cluster 304
4451,26,White,Male,Self-emp-inc,<=50K,26,26,Cluster 427
3002,55,White,Male,Private,<=50K,55,55,Cluster 442
4860,18,White,Male,Self-emp-not-inc,<=50K,18,18,Cluster 716
3631,30,White,Female,Local-gov,<=50K,30,30,Cluster 722
2089,31,White,Female,Federal-gov,>50K,31,31,Cluster 808
2109,58,White,Male,Local-gov,<=50K,58,58,Cluster 831
1813,51,White,Male,Private,>50K,51,51,Cluster 890
1575,49,White,Male,?,<=50K,49,49,Cluster 1011
4627,24,White,Male,Self-emp-not-inc,<=50K,24,24,Cluster 1064
2379,25,White,Female,Private,<=50K,25,25,Cluster 1108
2583,28,White,Male,Private,<=50K,28,28,Cluster 1239
1761,42,White,Female,Private,>50K,42,42,Cluster 1276
1976,40,Asian-Pac-Islander,Male,Private,>50K,40,40,Cluster 1359
4621,40,White,Male,Private,<=50K,40,40,Cluster 1395
2757,43,White,Male,Local-gov,>50K,43,43,Cluster 1417
3003,38,White,Female,Private,<=50K,38,38,Cluster 1462
1652,36,White,Male,Self-emp-not-inc,<=50K,36,36,Cluster 1526
1424,41,White,Male,Private,<=50K,41,41,Cluster 1562
4128,39,White,Male,Self-emp-not-inc,>50K,39,39,Cluster 1567
1220,38,White,Male,Private,>50K,38,38,Cluster 1644
4614,77,Black,Male,?,<=50K,77,77,Cluster 28
3432,17,White,Female,Private,<=50K,17,17,Cluster 35
2654,19,Asian-Pac-Islander,Male,Private,<=50K,19,19,Cluster 211
4167,18,White,Female,Private,<=50K,18,18,Cluster 212
4605,26,White,Female,Private,<=50K,26,26,Cluster 223
1567,29,White,Male,Private,<=50K,29,29,Cluster 262
4663,33,White,Male,Local-gov,<=50K,33,33,Cluster 318
3410,43,Black,Female,Private,<=50K,43,43,Cluster 325
3089,20,White,Male,?,<=50K,20,20,Cluster 417
3431,50,White,Female,Self-emp-not-inc,>50K,50,50,Cluster 451
3512,52,White,Female,Private,<=50K,52,52,Cluster 571
593,60,White,Male,Private,>50K,60,60,Cluster 630
4851,60,White,Male,Self-emp-not-inc,>50K,60,60,Cluster 635
1664,62,White,Male,Private,<=50K,63,62,Cluster 642
264,59,White,Male,Private,<=50K,59,59,Cluster 657
374,45,Black,Male,Private,<=50K,45,45,Cluster 729
3163,45,White,Male,Private,<=50K,45,45,Cluster 729
2765,19,White,Female,Private,<=50K,19,19,Cluster 734
4255,41,White,Male,Private,<=50K,41,41,Cluster 807
3591,23,White,Male,Private,<=50K,23,23,Cluster 1036
4399,24,White,Male,Private,<=50K,24,24,Cluster 1044
4560,47,White,Male,Self-emp-not-inc,>50K,47,47,Cluster 1076
4564,25,White,Male,Private,<=50K,25,25,Cluster 1088
138,27,White,Female,Private,<=50K,27,27,Cluster 1181
947,40,White,Female,Private,<=50K,40,40,Cluster 1359
2913,40,White,Female,Private,<=50K,40,40,Cluster 1395
926,32,White,Male,Private,<=50K,32,32,Cluster 1399
1124,36,White,Male,Private,<=50K,36,36,Cluster 1611
1952,77,White,Male,Local-gov,<=50K,78,77,Cluster 20
4087,50,White,Male,?,<=50K,50,50,Cluster 178
872,24,White,Male,Private,<=50K,24,24,Cluster 200
2562,40,Black,Female,Private,<=50K,40,40,Cluster 395
2249,20,White,Male,Private,<=50K,20,20,Cluster 424
157,23,White,Male,Private,<=50K,23,23,Cluster 429
4855,25,Asian-Pac-Islander,Female,Private,<=50K,25,25,Cluster 452
3073,28,Black,Male,?,<=50K,28,28,Cluster 681
2603,45,White,Female,State-gov,<=50K,45,45,Cluster 744
4243,42,White,Male,Private,<=50K,42,42,Cluster 783
562,54,White,Male,Private,>50K,54,54,Cluster 793
3061,21,White,Male,Private,<=50K,21,21,Cluster 909
3554,39,White,Female,Private,<=50K,39,39,Cluster 916
481,33,White,Male,Private,<=50K,33,33,Cluster 919
1408,39,White,Female,Local-gov,>50K,39,39,Cluster 920
120,22,White,Male,Private,<=50K,22,22,Cluster 929
1229,50,White,Female,Private,<=50K,50,50,Cluster 941
3514,37,White,Male,Private,>50K,37,37,Cluster 976
4456,48,White,Male,Self-emp-not-inc,<=50K,48,48,Cluster 1035
670,24,White,Male,Private,<=50K,24,24,Cluster 1048
2418,24,White,Female,Private,<=50K,24,24,Cluster 1065
2877,25,White,Male,Private,<=50K,25,25,Cluster 1094
1069,30,White,Male,Private,<=50K,30,30,Cluster 1292
2621,41,White,Male,Federal-gov,>50K,41,41,Cluster 1297
1995,30,White,Female,Private,>50K,30,30,Cluster 1323
682,37,White,Male,Private,>50K,37,37,Cluster 1512
4173,46,White,Male,Private,>50K,46,46,Cluster 1572
2741,38,White,Male,Private,>50K,38,38,Cluster 1582
3824,34,White,Male,Private,<=50K,34,34,Cluster 1632
1769,71,White,Male,Private,<=50K,71,71,Cluster 57
3804,25,White,Male,Private,<=50K,25,25,Cluster 139
3909,28,Black,Male,Private,<=50K,28,28,Cluster 260
3986,20,Black,Male,Private,<=50K,20,20,Cluster 387
190,58,White,Male,State-gov,>50K,58,58,Cluster 506
1047,64,White,Female,?,<=50K,64,64,Cluster 551
149,64,White,Male,Private,<=50K,64,64,Cluster 552
155,52,White,Male,?,>50K,52,52,Cluster 568
787,61,White,Male,Self-emp-not-inc,<=50K,61,61,Cluster 607
1371,26,Black,Male,Private,<=50K,26,26,Cluster 612
3780,63,White,Male,Private,>50K,63,63,Cluster 626
1985,60,White,Male,Self-emp-inc,>50K,60,60,Cluster 636
355,59,White,Male,?,>50K,59,59,Cluster 651
472,22,White,Male,?,<=50K,22,22,Cluster 862
2908,33,White,Female,Local-gov,<=50K,33,33,Cluster 919
4661,34,White,Male,Private,<=50K,34,34,Cluster 989
3473,23,White,Female,Private,<=50K,23,23,Cluster 1016
3439,53,White,Male,Private,>50K,53,53,Cluster 1073
2897,46,White,Male,Private,>50K,46,46,Cluster 1139
2435,26,White,Male,Private,<=50K,26,26,Cluster 1147
1192,48,White,Male,Private,>50K,48,48,Cluster 1232
