Anonym_age,Anonym_race,Anonym_sex,Anonym_workclass,prediction
39,Person,Adult,Employee,0
50,Person,Adult,Employee,0
38,Person,Adult,Employee,0
53,Person,Adult,Employee,0
[27-28],Person,Adult,Employee,1
37,Person,Adult,Employee,0
49,Person,Adult,Employee,0
52,Person,Adult,Employee,0
[30-31],Person,Adult,Employee,1
[42-43],Person,Adult,Employee,1
37,Person,Adult,Employee,0
30,Person,Adult,Employee,0
23,Person,Adult,Employee,0
32,Person,Adult,Employee,0
40,Person,Adult,Employee,0
34,Person,Adult,Employee,0
[24-25],Person,Adult,Employee,1
32,Person,Adult,Employee,0
38,Person,Adult,Employee,0
43,Person,Adult,Employee,0
40,Person,Adult,Employee,0
54,Person,Adult,Employee,0
[34-35],Person,Adult,Employee,1
43,Person,Adult,Employee,0
[58-59],Person,Adult,Employee,1
[55-56],Person,Adult,Employee,1
19,Person,Adult,Employee,0
54,Person,Adult,Employee,0
39,Person,Adult,Employee,0
49,Person,Adult,Employee,0
23,Person,Adult,Employee,0
20,Person,Adult,Employee,0
[44-45],Person,Adult,Employee,1
30,Person,Adult,Employee,0
22,Person,Adult,Employee,0
48,Person,Adult,Employee,0
[20-21],Person,Adult,Employee,1
19,Person,Adult,Employee,0
[31-32],Person,Adult,Employee,1
[48-49],Person,Adult,Employee,1
31,Person,Adult,Employee,0
53,Person,Adult,Employee,0
24,Person,Adult,Employee,0
49,Person,Adult,Employee,0
25,Person,Adult,Employee,0
57,Person,Adult,Employee,0
53,Person,Adult,Employee,0
44,Person,Adult,Employee,0
41,Person,Adult,Employee,0
29,Person,Adult,Employee,0
[24-25],Person,Adult,Employee,1
[17-18],Person,Adult,Employee,1
[47-48],Person,Adult,Employee,1
50,Person,Adult,Employee,0
[47-48],Person,Adult,Employee,1
43,Person,Adult,Employee,0
46,Person,Adult,Employee,0
[34-35],Person,Adult,Employee,1
41,Person,Adult,Employee,0
[29-30],Person,Adult,Employee,1
