id,age,race,sex,workclass,income,prediction
1,39,White,Male,State-gov,<=50K,1
2,50,White,Male,Self-emp-not-inc,<=50K,1
3,38,White,Male,Private,<=50K,1
4,53,Black,Male,Private,<=50K,0
5,28,Black,Female,Private,<=50K,0
6,37,White,Female,Private,<=50K,1
7,49,Black,Female,Private,<=50K,1
8,52,White,Male,Self-emp-not-inc,>50K,0
9,31,White,Female,Private,>50K,0
10,42,White,Male,Private,>50K,0
11,37,Black,Male,Private,>50K,0
12,30,Asian-Pac-Islander,Male,State-gov,>50K,0
13,23,White,Female,Private,<=50K,0
14,32,Black,Male,Private,<=50K,1
15,40,Asian-Pac-Islander,Male,Private,>50K,0
16,34,Amer-Indian-Eskimo,Male,Private,<=50K,0
17,25,White,Male,Self-emp-not-inc,<=50K,1
18,32,White,Male,Private,<=50K,1
19,38,White,Male,Private,<=50K,0
20,43,White,Female,Self-emp-not-inc,>50K,1
21,40,White,Male,Private,>50K,0
22,54,Black,Female,Private,<=50K,0
23,35,Black,Male,Federal-gov,<=50K,0
24,43,White,Male,Private,<=50K,0
25,59,White,Female,Private,<=50K,1
26,56,White,Male,Local-gov,>50K,0
27,19,White,Male,Private,<=50K,1
28,54,Asian-Pac-Islander,Male,?,>50K,1
29,39,White,Male,Private,<=50K,1
30,49,White,Male,Private,<=50K,1
31,23,White,Male,Local-gov,<=50K,1
32,20,Black,Male,Private,<=50K,0
33,45,White,Male,Private,<=50K,0
34,30,White,Male,Federal-gov,<=50K,0
35,22,Black,Male,State-gov,<=50K,0
36,48,White,Male,Private,<=50K,1
37,21,White,Male,Private,<=50K,0
38,19,White,Female,Private,<=50K,1
39,31,White,Male,Private,>50K,1
40,48,White,Male,Self-emp-not-inc,<=50K,0
41,31,White,Male,Private,<=50K,1
42,53,White,Male,Self-emp-not-inc,<=50K,1
43,24,White,Male,Private,<=50K,0
44,49,White,Female,Private,<=50K,0
45,25,White,Male,Private,<=50K,0
46,57,Black,Male,Federal-gov,>50K,0
47,53,White,Male,Private,<=50K,1
48,44,White,Female,Private,<=50K,0
49,41,White,Male,State-gov,<=50K,1
50,29,White,Male,Private,<=50K,0
51,25,Other,Female,Private,<=50K,0
52,18,White,Female,Private,<=50K,1
53,47,White,Female,Private,>50K,1
54,50,White,Male,Federal-gov,>50K,0
55,47,White,Male,Self-emp-inc,<=50K,0
56,43,White,Male,Private,>50K,0
57,46,White,Male,Private,<=50K,0
58,35,White,Male,Private,<=50K,1
59,41,White,Male,Private,<=50K,0
60,30,White,Male,Private,<=50K,1
61,30,White,Male,Private,<=50K,0
62,32,White,Male,?,<=50K,0
63,48,White,Male,Private,<=50K,1
64,42,White,Male,Private,>50K,1
65,29,White,Male,Private,<=50K,0
66,36,White,Male,Private,<=50K,0
67,28,White,Female,Private,<=50K,0
68,53,White,Female,Private,>50K,0
69,49,White,Male,Self-emp-inc,>50K,1
70,25,White,Male,?,<=50K,1
71,19,White,Male,Private,<=50K,0
72,31,Black,Female,Private,<=50K,0
73,29,White,Male,Self-emp-not-inc,>50K,0
74,23,White,Male,Private,<=50K,1
75,79,White,Male,Private,<=50K,1
76,27,White,Male,Private,<=50K,0
77,40,White,Male,Private,<=50K,0
78,67,White,Male,?,<=50K,0
79,18,White,Female,Private,<=50K,0
80,31,White,Male,Local-gov,<=50K,1
81,18,White,Male,Private,<=50K,1
82,52,White,Male,Private,<=50K,1
83,46,White,Female,Private,<=50K,0
84,59,White,Male,Private,<=50K,0
85,44,White,Female,Private,>50K,1
86,53,White,Female,Private,<=50K,1
87,49,White,Male,Local-gov,>50K,0
88,33,White,Male,Private,<=50K,0
89,30,White,Male,Private,<=50K,0
90,43,White,Female,Federal-gov,>50K,0
91,57,White,Male,Private,<=50K,1
92,37,White,Female,Private,<=50K,1
93,28,Black,Female,Private,<=50K,0
94,30,Asian-Pac-Islander,Female,Private,<=50K,0
95,34,White,Male,Local-gov,>50K,1
96,29,White,Male,Local-gov,<=50K,1
97,48,White,Male,Self-emp-not-inc,>50K,1
98,37,White,Male,Private,>50K,0
99,48,White,Female,Private,<=50K,0
100,32,Black,Male,Federal-gov,<=50K,0
101,76,White,Male,Private,>50K,1
102,44,White,Male,Private,>50K,1
103,47,White,Female,Self-emp-not-inc,<=50K,0
104,20,White,Female,Private,<=50K,0
105,29,White,Male,Private,<=50K,1
106,32,White,Male,Self-emp-inc,>50K,1
107,17,White,Female,?,<=50K,0
108,30,White,Male,Private,<=50K,0
109,31,White,Female,Local-gov,<=50K,1
110,42,White,Male,Private,<=50K,0
111,24,White,Male,Private,<=50K,1
112,38,White,Male,Private,>50K,0
113,56,White,Male,Self-emp-not-inc,>50K,0
114,28,White,Female,Private,<=50K,1
115,36,White,Female,Private,<=50K,1
116,53,White,Male,Private,<=50K,0
117,56,White,Male,Self-emp-inc,<=50K,0
118,49,Black,Male,Local-gov,>50K,1
119,55,White,Male,Private,<=50K,1
120,22,White,Male,Private,<=50K,0
121,21,White,Female,Private,<=50K,0
122,40,White,Male,Private,<=50K,1
123,30,Black,Male,Private,<=50K,0
124,29,White,Male,State-gov,>50K,0
125,19,Black,Male,Private,<=50K,1
126,47,White,Female,Private,>50K,1
127,20,White,Female,Private,<=50K,0
128,31,White,Male,Private,>50K,0
129,35,White,Male,?,<=50K,1
