age,race,sex,workclass,prediction
39,White,Male,State-gov,0
50,White,Male,Self-emp-not-inc,1
38,White,Male,Private,1
53,Black,Male,Private,1
28,Black,Female,Private,0
37,White,Female,Private,0
49,Black,Female,Private,1
52,White,Male,Self-emp-not-inc,1
31,White,Female,Private,0
42,White,Male,Private,0
37,Black,Male,Private,0
30,Asian-Pac-Islander,Male,State-gov,0
23,White,Female,Private,0
32,Black,Male,Private,0
40,Asian-Pac-Islander,Male,Private,0
34,Amer-Indian-Eskimo,Male,Private,0
25,White,Male,Self-emp-not-inc,0
32,White,Male,Private,0
38,White,Male,Private,1
43,White,Female,Self-emp-not-inc,0
40,White,Male,Private,0
54,Black,Female,Private,1
35,Black,Male,Federal-gov,0
43,White,Male,Private,0
59,White,Female,Private,1
56,White,Male,Local-gov,1
19,White,Male,Private,1
54,Asian-Pac-Islander,Male,?,1
39,White,Male,Private,0
49,White,Male,Private,1
23,White,Male,Local-gov,0
20,Black,Male,Private,0
45,White,Male,Private,1
30,White,Male,Federal-gov,0
22,Black,Male,State-gov,0
48,White,Male,Private,1
21,White,Male,Private,1
19,White,Female,Private,1
31,White,Male,Private,0
48,White,Male,Self-emp-not-inc,1
31,White,Male,Private,0
53,White,Male,Self-emp-not-inc,1
24,White,Male,Private,0
49,White,Female,Private,1
25,White,Male,Private,0
57,Black,Male,Federal-gov,1
53,White,Male,Private,1
44,White,Female,Private,1
41,White,Male,State-gov,0
29,White,Male,Private,0
25,Other,Female,Private,0
18,White,Female,Private,1
47,White,Female,Private,0
50,White,Male,Federal-gov,1
47,White,Male,Self-emp-inc,0
43,White,Male,Private,0
46,White,Male,Private,0
35,White,Male,Private,0
41,White,Male,Private,0
30,White,Male,Private,0
30,White,Male,Private,0
32,White,Male,?,0
48,White,Male,Private,1
42,White,Male,Private,0
29,White,Male,Private,0
36,White,Male,Private,0
28,White,Female,Private,0
53,White,Female,Private,1
49,White,Male,Self-emp-inc,1
25,White,Male,?,0
19,White,Male,Private,1
31,Black,Female,Private,0
29,White,Male,Self-emp-not-inc,0
23,White,Male,Private,0
79,White,Male,Private,1
27,White,Male,Private,0
40,White,Male,Private,0
67,White,Male,?,1
18,White,Female,Private,1
31,White,Male,Local-gov,0
18,White,Male,Private,1
52,White,Male,Private,1
46,White,Female,Private,0
59,White,Male,Private,1
44,White,Female,Private,1
53,White,Female,Private,1
49,White,Male,Local-gov,1
33,White,Male,Private,0
30,White,Male,Private,0
43,White,Female,Federal-gov,0
57,White,Male,Private,1
37,White,Female,Private,0
28,Black,Female,Private,0
30,Asian-Pac-Islander,Female,Private,0
34,White,Male,Local-gov,0
29,White,Male,Local-gov,0
48,White,Male,Self-emp-not-inc,1
37,White,Male,Private,0
48,White,Female,Private,1
32,Black,Male,Federal-gov,0
76,White,Male,Private,1
44,White,Male,Private,1
47,White,Female,Self-emp-not-inc,0
20,White,Female,Private,0
29,White,Male,Private,0
32,White,Male,Self-emp-inc,0
17,White,Female,?,1
30,White,Male,Private,0
31,White,Female,Local-gov,0
42,White,Male,Private,0
24,White,Male,Private,0
38,White,Male,Private,1
56,White,Male,Self-emp-not-inc,1
28,White,Female,Private,0
36,White,Female,Private,0
53,White,Male,Private,1
56,White,Male,Self-emp-inc,1
49,Black,Male,Local-gov,1
55,White,Male,Private,1
22,White,Male,Private,0
21,White,Female,Private,1
40,White,Male,Private,0
30,Black,Male,Private,0
29,White,Male,State-gov,0
19,Black,Male,Private,1
47,White,Female,Private,0
20,White,Female,Private,0
31,White,Male,Private,0
35,White,Male,?,0
39,White,Male,Private,0
28,White,Female,Private,0
24,White,Female,Private,0
38,White,Male,Self-emp-not-inc,1
37,White,Male,Private,0
46,Black,Female,Private,0
38,White,Male,Federal-gov,1
43,White,Male,Self-emp-not-inc,0
27,White,Female,Private,0
20,White,Male,Private,0
49,Asian-Pac-Islander,Male,Private,1
61,White,Male,Self-emp-inc,1
27,White,Female,Private,0
19,White,Male,Private,1
45,White,Female,Private,1
70,White,Male,Private,1
31,Black,Female,Private,0
22,White,Male,Private,0
36,White,Female,Private,0
64,White,Male,Private,1
43,White,Female,?,0
47,White,Female,Local-gov,0
34,White,Female,Private,0
33,Asian-Pac-Islander,Female,Private,0
21,White,Male,Private,1
52,White,Male,?,1
48,White,Male,Private,1
23,White,Male,Private,0
71,Black,Male,Self-emp-not-inc,1
29,White,Male,Private,0
42,Black,Male,Private,0
68,White,Female,?,1
25,White,Female,Private,0
44,Asian-Pac-Islander,Female,Self-emp-inc,1
28,Asian-Pac-Islander,Female,Private,0
45,White,Male,Self-emp-not-inc,1
36,White,Female,Private,0
39,White,Male,Federal-gov,0
46,White,Male,State-gov,0
18,White,Male,Private,1
66,White,Female,Local-gov,1
27,White,Male,Private,0
28,White,Male,State-gov,0
51,White,Male,Private,1
27,White,Male,Private,0
28,White,Male,State-gov,0
27,White,Female,Private,0
21,Black,Male,Private,1
34,Black,Male,Private,0
18,White,Male,Private,1
33,White,Male,Private,0
44,Black,Male,Local-gov,1
43,White,Female,Private,0
30,Black,Male,Private,0
40,White,Male,Private,0
37,White,Male,Federal-gov,0
34,Black,Male,Private,0
41,White,Female,Self-emp-not-inc,0
53,White,Female,?,1
31,White,Female,Private,0
58,White,Male,State-gov,1
38,Black,Female,Private,1
24,White,Male,Private,0
41,Black,Male,Local-gov,0
47,White,Male,Private,0
41,White,Male,Federal-gov,0
23,White,Male,Private,0
36,White,Male,Private,0
40,White,Female,Federal-gov,0
35,White,Male,Private,0
24,White,Male,Self-emp-not-inc,0
26,White,Female,Private,0
19,White,Male,?,1
51,White,Male,Private,1
42,White,Female,Local-gov,0
37,White,Female,State-gov,0
18,White,Female,Private,1
36,Black,Male,Private,0
35,White,Male,Private,0
58,White,Female,Self-emp-inc,1
17,White,Female,Private,1
44,Black,Male,Local-gov,1
37,White,Male,Private,0
35,Amer-Indian-Eskimo,Female,Private,0
60,Asian-Pac-Islander,Male,Private,1
54,White,Male,Self-emp-inc,1
37,Black,Male,Private,0
50,White,Female,Private,1
38,White,Male,Private,1
45,White,Male,Private,1
25,White,Male,Private,0
31,White,Male,Private,0
64,White,Male,?,1
90,Black,Male,Private,1
54,Black,Male,Private,1
53,White,Female,Local-gov,1
18,White,Female,Private,1
60,Amer-Indian-Eskimo,Female,?,1
66,White,Male,Self-emp-not-inc,1
75,White,Female,Private,1
65,White,Female,Private,1
35,Black,Male,Private,0
41,Black,Female,Private,0
25,White,Male,Private,0
33,Other,Female,Private,0
28,White,Male,Private,0
59,White,Male,State-gov,1
40,White,Female,State-gov,0
41,White,Male,Private,0
38,White,Male,Local-gov,1
23,White,Male,Private,0
40,White,Male,Private,0
41,White,Female,Self-emp-not-inc,0
24,White,Male,State-gov,0
20,White,Male,?,0
38,White,Male,Private,1
56,White,Male,Private,1
58,White,Male,Private,1
32,White,Female,Private,0
40,White,Male,Private,0
45,White,Male,Private,1
41,White,Female,Private,0
42,Black,Female,Private,0
59,Black,Female,Local-gov,1
19,White,Male,Local-gov,1
58,White,Male,Private,1
42,Asian-Pac-Islander,Male,Self-emp-not-inc,0
20,White,Female,Private,0
32,White,Female,Private,0
45,White,Female,Private,1
50,White,Male,Private,1
36,White,Female,Private,0
45,White,Male,Private,1
17,White,Male,Private,1
59,White,Male,Private,1
26,White,Male,Private,0
37,Asian-Pac-Islander,Male,Self-emp-inc,0
19,White,Male,?,1
64,White,Male,Private,1
33,White,Female,Private,0
33,White,Female,Private,0
61,White,Male,Private,1
17,White,Male,Private,1
50,White,Male,Self-emp-not-inc,1
27,White,Male,Local-gov,0
30,White,Female,Private,0
43,Black,Male,Private,0
44,White,Male,Private,1
35,White,Female,Private,0
25,White,Female,Private,0
24,White,Female,Private,0
22,White,Female,Private,0
42,White,Male,Local-gov,0
34,Black,Female,Private,0
60,White,Female,Private,1
21,White,Male,Private,1
57,White,Male,Federal-gov,1
41,White,Male,Private,0
50,White,Male,Private,1
25,White,Female,Private,0
50,White,Male,Private,1
36,White,Male,Private,0
31,White,Female,Private,0
29,White,Male,Local-gov,0
21,White,Male,Private,1
27,Black,Female,Private,0
65,White,Male,Private,1
37,White,Female,Self-emp-inc,0
39,Asian-Pac-Islander,Female,?,0
24,White,Male,Private,0
38,White,Male,Private,1
48,White,Male,Private,1
21,Asian-Pac-Islander,Female,Private,1
31,White,Male,Private,0
55,White,Male,Private,1
24,Asian-Pac-Islander,Female,Private,0
43,White,Female,Private,0
26,White,Male,Private,0
46,White,Female,Private,0
35,White,Male,Private,0
41,White,Male,Self-emp-inc,0
26,White,Male,Private,0
34,Asian-Pac-Islander,Male,Private,0
19,Black,Female,?,1
36,Black,Female,Self-emp-not-inc,0
22,White,Male,Private,0
24,White,Male,Private,0
77,White,Male,Self-emp-not-inc,1
22,White,Female,Private,0
29,White,Female,Private,0
62,White,Female,Private,1
39,White,Male,Self-emp-not-inc,0
43,White,Male,Private,0
35,White,Male,Private,0
29,White,Female,Private,0
76,White,Male,Self-emp-not-inc,1
63,White,Male,Self-emp-not-inc,1
23,Black,Female,?,0
43,White,Female,Private,0
58,White,Male,Self-emp-not-inc,1
66,White,Male,Private,1
41,Black,Male,Private,0
