age,race,sex,income,prediction
39,White,Male,<=50K,1
50,White,Male,<=50K,1
38,White,Male,<=50K,1
53,Black,Male,<=50K,0
28,Black,Female,<=50K,1
37,White,Female,<=50K,1
49,Black,Female,<=50K,1
52,White,Male,>50K,1
31,White,Female,>50K,1
42,White,Male,>50K,1
37,Black,Male,>50K,1
30,Asian-Pac-Islander,Male,>50K,1
23,White,Female,<=50K,1
32,Black,Male,<=50K,1
40,Asian-Pac-Islander,Male,>50K,1
34,Amer-Indian-Eskimo,Male,<=50K,1
25,White,Male,<=50K,1
32,White,Male,<=50K,1
38,White,Male,<=50K,1
43,White,Female,>50K,1
40,White,Male,>50K,1
54,Black,Female,<=50K,0
35,Black,Male,<=50K,1
43,White,Male,<=50K,1
59,White,Female,<=50K,0
56,White,Male,>50K,0
19,White,Male,<=50K,1
54,Asian-Pac-Islander,Male,>50K,0
39,White,Male,<=50K,1
49,White,Male,<=50K,1
23,White,Male,<=50K,1
20,Black,Male,<=50K,1
45,White,Male,<=50K,1
30,White,Male,<=50K,1
22,Black,Male,<=50K,1
48,White,Male,<=50K,1
21,White,Male,<=50K,1
19,White,Female,<=50K,1
31,White,Male,>50K,1
48,White,Male,<=50K,1
31,White,Male,<=50K,1
53,White,Male,<=50K,0
24,White,Male,<=50K,1
49,White,Female,<=50K,1
25,White,Male,<=50K,1
57,Black,Male,>50K,0
53,White,Male,<=50K,0
44,White,Female,<=50K,1
41,White,Male,<=50K,1
29,White,Male,<=50K,1
25,Other,Female,<=50K,1
18,White,Female,<=50K,1
47,White,Female,>50K,1
50,White,Male,>50K,1
47,White,Male,<=50K,1
43,White,Male,>50K,1
46,White,Male,<=50K,1
35,White,Male,<=50K,1
41,White,Male,<=50K,1
30,White,Male,<=50K,1
30,White,Male,<=50K,1
32,White,Male,<=50K,1
48,White,Male,<=50K,1
42,White,Male,>50K,1
29,White,Male,<=50K,1
36,White,Male,<=50K,1
28,White,Female,<=50K,1
53,White,Female,>50K,0
49,White,Male,>50K,1
25,White,Male,<=50K,1
19,White,Male,<=50K,1
31,Black,Female,<=50K,1
29,White,Male,>50K,1
23,White,Male,<=50K,1
79,White,Male,<=50K,0
27,White,Male,<=50K,1
40,White,Male,<=50K,1
67,White,Male,<=50K,0
18,White,Female,<=50K,1
31,White,Male,<=50K,1
18,White,Male,<=50K,1
52,White,Male,<=50K,1
46,White,Female,<=50K,1
59,White,Male,<=50K,0
44,White,Female,>50K,1
53,White,Female,<=50K,0
49,White,Male,>50K,1
33,White,Male,<=50K,1
30,White,Male,<=50K,1
43,White,Female,>50K,1
57,White,Male,<=50K,0
37,White,Female,<=50K,1
28,Black,Female,<=50K,1
30,Asian-Pac-Islander,Female,<=50K,1
34,White,Male,>50K,1
29,White,Male,<=50K,1
48,White,Male,>50K,1
37,White,Male,>50K,1
48,White,Female,<=50K,1
32,Black,Male,<=50K,1
