id,Anonym_age,Anonym_race,Anonym_sex,Anonym_workclass,Anonym_income,prediction
1,39,Person,Adult,Employee,<=50K,0.0
2,50,Person,Adult,Employee,<=50K,0.0
3,38,Person,Adult,Employee,<=50K,0.0
4,53,Person,Adult,Employee,<=50K,0.0
5,[27-28],Person,Adult,Employee,<=50K,0.0
6,37,Person,Adult,Employee,<=50K,0.0
7,49,Person,Adult,Employee,<=50K,0.0
8,52,Person,Adult,Employee,>50K,0.0
9,[30-31],Person,Adult,Employee,>50K,0.0
10,[42-43],Person,Adult,Employee,>50K,0.0
11,37,Person,Adult,Employee,>50K,0.0
12,30,Person,Adult,Employee,>50K,0.0
13,23,Person,Adult,Employee,<=50K,0.0
14,32,Person,Adult,Employee,<=50K,0.0
15,40,Person,Adult,Employee,>50K,0.0
16,34,Person,Adult,Employee,<=50K,0.0
17,[24-25],Person,Adult,Employee,<=50K,0.0
18,32,Person,Adult,Employee,<=50K,0.0
19,38,Person,Adult,Employee,<=50K,0.0
20,43,Person,Adult,Employee,>50K,0.0
21,40,Person,Adult,Employee,>50K,0.0
22,54,Person,Adult,Employee,<=50K,0.0
23,[34-35],Person,Adult,Employee,<=50K,0.0
24,43,Person,Adult,Employee,<=50K,0.0
25,[58-59],Person,Adult,Employee,<=50K,0.0
26,[55-56],Person,Adult,Employee,>50K,0.0
27,19,Person,Adult,Employee,<=50K,0.0
28,54,Person,Adult,Employee,>50K,0.0
29,39,Person,Adult,Employee,<=50K,0.0
30,49,Person,Adult,Employee,<=50K,0.0
31,23,Person,Adult,Employee,<=50K,0.0
32,20,Person,Adult,Employee,<=50K,0.0
33,[44-45],Person,Adult,Employee,<=50K,0.0
34,30,Person,Adult,Employee,<=50K,0.0
35,22,Person,Adult,Employee,<=50K,0.0
36,48,Person,Adult,Employee,<=50K,0.0
37,[20-21],Person,Adult,Employee,<=50K,0.0
38,19,Person,Adult,Employee,<=50K,0.0
39,[31-32],Person,Adult,Employee,>50K,0.0
40,[48-49],Person,Adult,Employee,<=50K,0.0
41,31,Person,Adult,Employee,<=50K,0.0
42,53,Person,Adult,Employee,<=50K,0.0
43,24,Person,Adult,Employee,<=50K,0.0
44,49,Person,Adult,Employee,<=50K,0.0
45,25,Person,Adult,Employee,<=50K,0.0
46,57,Person,Adult,Employee,>50K,0.0
47,53,Person,Adult,Employee,<=50K,0.0
48,44,Person,Adult,Employee,<=50K,0.0
49,41,Person,Adult,Employee,<=50K,0.0
50,29,Person,Adult,Employee,<=50K,0.0
51,[24-25],Person,Adult,Employee,<=50K,0.0
52,[17-18],Person,Adult,Employee,<=50K,0.0
53,[47-48],Person,Adult,Employee,>50K,0.0
54,50,Person,Adult,Employee,>50K,0.0
55,[47-48],Person,Adult,Employee,<=50K,0.0
56,43,Person,Adult,Employee,>50K,0.0
57,46,Person,Adult,Employee,<=50K,0.0
58,[34-35],Person,Adult,Employee,<=50K,0.0
59,41,Person,Adult,Employee,<=50K,0.0
60,[29-30],Person,Adult,Employee,<=50K,0.0
61,[29-30],Person,Adult,Employee,<=50K,0.0
62,32,Person,Adult,Employee,<=50K,0.0
63,[48-49],Person,Adult,Employee,<=50K,0.0
64,[41-42],Person,Adult,Employee,>50K,0.0
65,29,Person,Adult,Employee,<=50K,0.0
66,36,Person,Adult,Employee,<=50K,0.0
67,28,Person,Adult,Employee,<=50K,0.0
68,53,Person,Adult,Employee,>50K,0.0
69,49,Person,Adult,Employee,>50K,0.0
70,25,Person,Adult,Employee,<=50K,0.0
71,19,Person,Adult,Employee,<=50K,0.0
72,31,Person,Adult,Employee,<=50K,0.0
73,29,Person,Adult,Employee,>50K,0.0
74,23,Person,Adult,Employee,<=50K,0.0
75,[78-90],Person,Adult,Employee,<=50K,0.0
76,27,Person,Adult,Employee,<=50K,0.0
77,40,Person,Adult,Employee,<=50K,0.0
78,[66-68],Person,Adult,Employee,<=50K,0.0
79,[18-19],Person,Adult,Employee,<=50K,0.0
80,31,Person,Adult,Employee,<=50K,0.0
81,18,Person,Adult,Employee,<=50K,0.0
82,52,Person,Adult,Employee,<=50K,0.0
83,46,Person,Adult,Employee,<=50K,0.0
84,[58-59],Person,Adult,Employee,<=50K,0.0
85,[43-44],Person,Adult,Employee,>50K,0.0
86,53,Person,Adult,Employee,<=50K,0.0
87,[49-50],Person,Adult,Employee,>50K,0.0
88,33,Person,Adult,Employee,<=50K,0.0
89,30,Person,Adult,Employee,<=50K,0.0
90,43,Person,Adult,Employee,>50K,0.0
91,57,Person,Adult,Employee,<=50K,0.0
92,37,Person,Adult,Employee,<=50K,0.0
93,28,Person,Adult,Employee,<=50K,0.0
94,30,Person,Adult,Employee,<=50K,0.0
95,34,Person,Adult,Employee,>50K,0.0
96,29,Person,Adult,Employee,<=50K,0.0
97,48,Person,Adult,Employee,>50K,0.0
98,37,Person,Adult,Employee,>50K,0.0
99,48,Person,Adult,Employee,<=50K,0.0
100,32,Person,Adult,Employee,<=50K,0.0
101,[74-78],Person,Adult,Employee,>50K,0.0
102,44,Person,Adult,Employee,>50K,0.0
103,47,Person,Adult,Employee,<=50K,0.0
104,20,Person,Adult,Employee,<=50K,0.0
105,29,Person,Adult,Employee,<=50K,0.0
106,[31-32],Person,Adult,Employee,>50K,0.0
107,17,Person,Adult,Employee,<=50K,0.0
108,30,Person,Adult,Employee,<=50K,0.0
109,31,Person,Adult,Employee,<=50K,0.0
110,[41-42],Person,Adult,Employee,<=50K,0.0
111,24,Person,Adult,Employee,<=50K,0.0
112,38,Person,Adult,Employee,>50K,0.0
113,56,Person,Adult,Employee,>50K,0.0
114,28,Person,Adult,Employee,<=50K,0.0
115,36,Person,Adult,Employee,<=50K,0.0
116,53,Person,Adult,Employee,<=50K,0.0
117,[56-58],Person,Adult,Employee,<=50K,0.0
118,49,Person,Adult,Employee,>50K,0.0
119,[54-55],Person,Adult,Employee,<=50K,0.0
120,22,Person,Adult,Employee,<=50K,0.0
121,21,Person,Adult,Employee,<=50K,0.0
122,40,Person,Adult,Employee,<=50K,0.0
123,30,Person,Adult,Employee,<=50K,0.0
124,29,Person,Adult,Employee,>50K,0.0
125,19,Person,Adult,Employee,<=50K,0.0
126,47,Person,Adult,Employee,>50K,0.0
127,20,Person,Adult,Employee,<=50K,0.0
128,31,Person,Adult,Employee,>50K,0.0
129,35,Person,Adult,Employee,<=50K,0.0
130,39,Person,Adult,Employee,<=50K,0.0
131,28,Person,Adult,Employee,<=50K,0.0
132,24,Person,Adult,Employee,<=50K,0.0
133,38,Person,Adult,Employee,<=50K,0.0
134,[37-38],Person,Adult,Employee,<=50K,0.0
135,[45-46],Person,Adult,Employee,<=50K,0.0
136,38,Person,Adult,Employee,>50K,0.0
137,43,Person,Adult,Employee,<=50K,0.0
138,27,Person,Adult,Employee,<=50K,0.0
139,20,Person,Adult,Employee,<=50K,0.0
140,49,Person,Adult,Employee,>50K,0.0
141,[60-61],Person,Adult,Employee,<=50K,0.0
142,27,Person,Adult,Employee,<=50K,0.0
143,19,Person,Adult,Employee,<=50K,0.0
144,[44-45],Person,Adult,Employee,>50K,0.0
145,[69-72],Person,Adult,Employee,<=50K,0.0
146,[31-32],Person,Adult,Employee,<=50K,0.0
147,[21-22],Person,Adult,Employee,<=50K,0.0
148,36,Person,Adult,Employee,<=50K,0.0
149,64,Person,Adult,Employee,<=50K,0.0
150,43,Person,Adult,Employee,<=50K,0.0
151,[47-48],Person,Adult,Employee,<=50K,0.0
152,34,Person,Adult,Employee,<=50K,0.0
153,[32-33],Person,Adult,Employee,<=50K,0.0
154,21,Person,Adult,Employee,<=50K,0.0
155,[52-53],Person,Adult,Employee,>50K,0.0
156,[48-49],Person,Adult,Employee,<=50K,0.0
157,23,Person,Adult,Employee,<=50K,0.0
