age,race,sex,income,prediction
17,Amer-Indian-Eskimo,Female,>50K,1.0
17,Amer-Indian-Eskimo,Female,>50K,1.0
17,Amer-Indian-Eskimo,Female,>50K,1.0
17,Amer-Indian-Eskimo,Male,<=50K,0.0
17,Amer-Indian-Eskimo,Male,>50K,1.0
17,Amer-Indian-Eskimo,Male,>50K,1.0
17,Amer-Indian-Eskimo,Male,>50K,1.0
17,Asian-Pac-Islander,Female,<=50K,0.0
17,Asian-Pac-Islander,Female,<=50K,0.0
17,Asian-Pac-Islander,Female,>50K,1.0
17,Asian-Pac-Islander,Female,>50K,1.0
17,Asian-Pac-Islander,Female,>50K,1.0
17,Asian-Pac-Islander,Female,>50K,1.0
17,Asian-Pac-Islander,Female,>50K,1.0
17,Asian-Pac-Islander,Male,<=50K,0.0
17,Asian-Pac-Islander,Male,>50K,1.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,<=50K,0.0
17,Black,Female,>50K,1.0
17,Black,Female,>50K,1.0
17,Black,Male,<=50K,0.0
17,Black,Male,<=50K,0.0
17,Black,Male,>50K,1.0
17,Other,Female,<=50K,0.0
17,Other,Female,<=50K,0.0
17,Other,Female,<=50K,0.0
17,Other,Female,<=50K,0.0
17,Other,Female,<=50K,0.0
17,Other,Male,<=50K,0.0
17,Other,Male,<=50K,0.0
17,Other,Male,<=50K,0.0
17,Other,Male,>50K,1.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,<=50K,0.0
17,White,Female,>50K,1.0
17,White,Female,>50K,1.0
17,White,Female,>50K,1.0
17,White,Male,<=50K,0.0
17,White,Male,<=50K,0.0
17,White,Male,<=50K,0.0
