id,age,race,sex,workclass,income
1,39,White,Male,State-gov,<=50K
2,50,White,Male,Self-emp-not-inc,<=50K
3,38,White,Male,Private,<=50K
4,53,Black,Male,Private,<=50K
5,28,Black,Female,Private,<=50K
6,37,White,Female,Private,<=50K
7,49,Black,Female,Private,<=50K
8,52,White,Male,Self-emp-not-inc,>50K
9,31,White,Female,Private,>50K
10,42,White,Male,Private,>50K
11,37,Black,Male,Private,>50K
12,30,Asian-Pac-Islander,Male,State-gov,>50K
13,23,White,Female,Private,<=50K
14,32,Black,Male,Private,<=50K
15,40,Asian-Pac-Islander,Male,Private,>50K
16,34,Amer-Indian-Eskimo,Male,Private,<=50K
17,25,White,Male,Self-emp-not-inc,<=50K
18,32,White,Male,Private,<=50K
19,38,White,Male,Private,<=50K
20,43,White,Female,Self-emp-not-inc,>50K
21,40,White,Male,Private,>50K
22,54,Black,Female,Private,<=50K
23,35,Black,Male,Federal-gov,<=50K
24,43,White,Male,Private,<=50K
25,59,White,Female,Private,<=50K
26,56,White,Male,Local-gov,>50K
27,19,White,Male,Private,<=50K
28,54,Asian-Pac-Islander,Male,?,>50K
29,39,White,Male,Private,<=50K
30,49,White,Male,Private,<=50K
31,23,White,Male,Local-gov,<=50K
32,20,Black,Male,Private,<=50K
33,45,White,Male,Private,<=50K
34,30,White,Male,Federal-gov,<=50K
35,22,Black,Male,State-gov,<=50K
36,48,White,Male,Private,<=50K
37,21,White,Male,Private,<=50K
38,19,White,Female,Private,<=50K
39,31,White,Male,Private,>50K
40,48,White,Male,Self-emp-not-inc,<=50K
41,31,White,Male,Private,<=50K
42,53,White,Male,Self-emp-not-inc,<=50K
43,24,White,Male,Private,<=50K
44,49,White,Female,Private,<=50K
45,25,White,Male,Private,<=50K
46,57,Black,Male,Federal-gov,>50K
47,53,White,Male,Private,<=50K
48,44,White,Female,Private,<=50K
49,41,White,Male,State-gov,<=50K
50,29,White,Male,Private,<=50K
51,25,Other,Female,Private,<=50K
52,18,White,Female,Private,<=50K
53,47,White,Female,Private,>50K
54,50,White,Male,Federal-gov,>50K
55,47,White,Male,Self-emp-inc,<=50K
56,43,White,Male,Private,>50K
57,46,White,Male,Private,<=50K
58,35,White,Male,Private,<=50K
59,41,White,Male,Private,<=50K
60,30,White,Male,Private,<=50K
61,30,White,Male,Private,<=50K
62,32,White,Male,?,<=50K
63,48,White,Male,Private,<=50K
64,42,White,Male,Private,>50K
65,29,White,Male,Private,<=50K
66,36,White,Male,Private,<=50K
67,28,White,Female,Private,<=50K
68,53,White,Female,Private,>50K
69,49,White,Male,Self-emp-inc,>50K
70,25,White,Male,?,<=50K
71,19,White,Male,Private,<=50K
72,31,Black,Female,Private,<=50K
73,29,White,Male,Self-emp-not-inc,>50K
74,23,White,Male,Private,<=50K
75,79,White,Male,Private,<=50K
76,27,White,Male,Private,<=50K
77,40,White,Male,Private,<=50K
78,67,White,Male,?,<=50K
79,18,White,Female,Private,<=50K
80,31,White,Male,Local-gov,<=50K
81,18,White,Male,Private,<=50K
82,52,White,Male,Private,<=50K
83,46,White,Female,Private,<=50K
84,59,White,Male,Private,<=50K
85,44,White,Female,Private,>50K
86,53,White,Female,Private,<=50K
87,49,White,Male,Local-gov,>50K
88,33,White,Male,Private,<=50K
