Anonym_DAYS_BIRTH,Anonym_OCCUPATION_TYPE,prediction
[(-24575)-(-9270)],Employee,13
[(-24166)-(-8209)],Employee,4
[(-24589)-(-8655)],Employee,22
[(-24691)-(-8843)],Employee,13
[(-24831)-(-9087)],Employee,19
[(-24831)-(-8696)],Employee,6
[(-24831)-(-9387)],Employee,5
[(-23646)-(-8533)],Employee,23
[(-24691)-(-8527)],Employee,14
[(-23442)-(-8477)],Employee,8
[(-24202)-(-8696)],Employee,23
[(-23442)-(-8527)],Employee,10
[(-24691)-(-9115)],Employee,1
[(-24831)-(-8696)],Employee,6
[(-23868)-(-8231)],Employee,22
[(-23751)-(-8562)],Employee,19
[(-23751)-(-8562)],Employee,19
[(-24691)-(-9746)],Employee,6
[(-24278)-(-8993)],Employee,3
[(-24878)-(-9417)],Employee,2
[(-23886)-(-8843)],Employee,19
[(-24278)-(-8861)],Employee,21
[(-24166)-(-8209)],Employee,4
[(-24831)-(-8351)],Employee,8
[(-24589)-(-8655)],Employee,22
[(-25140)-(-9187)],Employee,2
[(-24691)-(-8655)],Employee,6
[(-24831)-(-9087)],Employee,19
[(-23868)-(-8231)],Employee,22
[(-24278)-(-9235)],Employee,17
[(-24878)-(-8993)],Employee,20
[(-24831)-(-8182)],Employee,12
[(-24691)-(-9461)],Employee,11
[(-24166)-(-8179)],Employee,16
[(-24166)-(-8482)],Employee,16
[(-23868)-(-8533)],Employee,5
[(-23886)-(-9839)],Employee,8
[(-23641)-(-8488)],Employee,1
[(-24831)-(-8041)],Employee,6
[(-24629)-(-9190)],Employee,2
[(-24206)-(-7489)],Employee,5
[(-24691)-(-9115)],Employee,1
[(-24691)-(-9461)],Employee,11
[(-25140)-(-8111)],Employee,8
[(-23886)-(-9080)],Employee,1
[(-24691)-(-9380)],Employee,0
[(-24878)-(-9154)],Employee,18
[(-24691)-(-8475)],Employee,20
[(-24589)-(-8655)],Employee,22
[(-23646)-(-8655)],Employee,24
[(-24878)-(-8489)],Employee,0
[(-22985)-(-9430)],Employee,2
[(-24831)-(-8351)],Employee,8
[(-24629)-(-9190)],Employee,2
[(-24166)-(-8482)],Employee,16
[(-24589)-(-8041)],Employee,9
[(-24202)-(-8603)],Employee,5
