DAYS_BIRTH,OCCUPATION_TYPE,prediction
-12005,"",10
-12005,"",10
-21474,Security staff,18
-19110,Sales staff,5
-19110,Sales staff,5
-19110,Sales staff,5
-19110,Sales staff,5
-22464,"",21
-22464,"",21
-22464,"",21
-16872,Accountants,2
-16872,Accountants,2
-16872,Accountants,2
-17778,Laborers,13
-17778,Laborers,13
-17778,Laborers,13
-17778,Laborers,13
-17778,Laborers,13
-17778,Laborers,13
-10669,Accountants,23
-10669,Accountants,23
-10031,Laborers,21
-10031,Laborers,21
-10031,Laborers,21
-10968,"",21
-10968,"",21
-10968,"",21
-12689,Laborers,16
-12689,Laborers,16
-11842,Managers,8
-11842,Managers,8
-11842,Managers,8
-11842,Managers,8
-11842,Managers,8
-11842,Managers,8
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-20502,Drivers,12
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-15761,Laborers,11
-16212,Core staff,10
-16212,Core staff,10
-16670,Security staff,10
-16670,Security staff,10
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-12411,Managers,6
-20186,"",18
-17016,Core staff,22
-17016,Core staff,22
-17016,Core staff,22
-17016,Core staff,22
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
-15519,Laborers,11
