DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,NAME_INCOME_TYPE,prediction
-12005,-4542,"",Working,42
-12005,-4542,"",Working,42
-21474,-1134,Security staff,Working,13
-19110,-3051,Sales staff,Commercial associate,54
-19110,-3051,Sales staff,Commercial associate,54
-19110,-3051,Sales staff,Commercial associate,54
-19110,-3051,Sales staff,Commercial associate,54
-22464,365243,"",Pensioner,3
-22464,365243,"",Pensioner,3
-22464,365243,"",Pensioner,3
-16872,-769,Accountants,Working,79
-16872,-769,Accountants,Working,79
-16872,-769,Accountants,Working,79
-17778,-1194,Laborers,Commercial associate,84
-17778,-1194,Laborers,Commercial associate,84
-17778,-1194,Laborers,Commercial associate,84
-17778,-1194,Laborers,Commercial associate,84
-17778,-1194,Laborers,Commercial associate,84
-17778,-1194,Laborers,Commercial associate,84
-10669,-1103,Accountants,Working,83
-10669,-1103,Accountants,Working,83
-10031,-1469,Laborers,Working,96
-10031,-1469,Laborers,Working,96
-10031,-1469,Laborers,Working,96
-10968,-1620,"",Working,46
-10968,-1620,"",Working,46
-10968,-1620,"",Working,46
-12689,-1163,Laborers,Working,95
-12689,-1163,Laborers,Working,95
-11842,-2016,Managers,Commercial associate,87
-11842,-2016,Managers,Commercial associate,87
-11842,-2016,Managers,Commercial associate,87
-11842,-2016,Managers,Commercial associate,87
-11842,-2016,Managers,Commercial associate,87
-11842,-2016,Managers,Commercial associate,87
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-20502,-4450,Drivers,Commercial associate,10
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-15761,-3173,Laborers,Working,35
-16212,-7099,Core staff,State servant,53
-16212,-7099,Core staff,State servant,53
-16670,-5364,Security staff,Commercial associate,53
-16670,-5364,Security staff,Commercial associate,53
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-12411,-1773,Managers,Commercial associate,66
-20186,365243,"",Pensioner,38
-17016,-1347,Core staff,Commercial associate,54
-17016,-1347,Core staff,Commercial associate,54
-17016,-1347,Core staff,Commercial associate,54
-17016,-1347,Core staff,Commercial associate,54
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
-15519,-3234,Laborers,Commercial associate,2
