id,Anonym_DAYS_BIRTH,Anonym_OCCUPATION_TYPE,Anonym_NAME_INCOME_TYPE,Anonym_NAME_EDUCATION_TYPE,prediction
1,[(-24575)-(-9270)],Employee,Unique earnings,Educated,0.0
2,[(-24166)-(-8209)],Employee,Unique earnings,Educated,0.0
3,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
4,[(-24691)-(-8843)],Employee,Unique earnings,Educated,0.0
5,[(-24831)-(-9087)],Employee,Unique earnings,Educated,0.0
6,[(-24831)-(-8696)],Employee,Unique earnings,Educated,0.0
7,[(-24831)-(-9387)],Employee,Unique earnings,Educated,0.0
8,[(-23646)-(-8533)],Employee,Unique earnings,Educated,0.0
9,[(-24691)-(-8527)],Employee,Unique earnings,Educated,0.0
10,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
11,[(-24202)-(-8696)],Employee,Unique earnings,Educated,0.0
12,[(-23442)-(-8527)],Employee,Unique earnings,Educated,0.0
13,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
14,[(-24831)-(-8696)],Employee,Unique earnings,Educated,0.0
15,[(-23868)-(-8231)],Employee,Unique earnings,Educated,0.0
16,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
17,[(-23751)-(-8562)],Employee,Unique earnings,Educated,0.0
18,[(-24691)-(-9746)],Employee,Unique earnings,Educated,0.0
19,[(-24278)-(-8993)],Employee,Unique earnings,Educated,0.0
20,[(-24878)-(-9417)],Employee,Unique earnings,Educated,0.0
21,[(-23886)-(-8843)],Employee,Unique earnings,Educated,0.0
22,[(-24278)-(-8861)],Employee,Unique earnings,Educated,0.0
23,[(-24166)-(-8209)],Employee,Unique earnings,Educated,0.0
24,[(-24831)-(-8351)],Employee,Unique earnings,Educated,0.0
25,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
26,[(-25140)-(-9187)],Employee,Unique earnings,Educated,0.0
27,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
28,[(-24831)-(-9087)],Employee,Unique earnings,Educated,0.0
29,[(-23868)-(-8231)],Employee,Unique earnings,Educated,0.0
30,[(-24278)-(-9235)],Employee,Unique earnings,Educated,0.0
31,[(-24878)-(-8993)],Employee,Unique earnings,Educated,0.0
32,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
33,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
34,[(-24166)-(-8179)],Employee,Unique earnings,Educated,0.0
35,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
36,[(-23868)-(-8533)],Employee,Unique earnings,Educated,0.0
37,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
38,[(-23641)-(-8488)],Employee,Unique earnings,Educated,0.0
39,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
40,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
41,[(-24206)-(-7489)],Employee,Unique earnings,Educated,0.0
42,[(-24691)-(-9115)],Employee,Unique earnings,Educated,0.0
43,[(-24691)-(-9461)],Employee,Unique earnings,Educated,0.0
44,[(-25140)-(-8111)],Employee,Unique earnings,Educated,0.0
45,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
46,[(-24691)-(-9380)],Employee,Unique earnings,Educated,0.0
47,[(-24878)-(-9154)],Employee,Unique earnings,Educated,0.0
48,[(-24691)-(-8475)],Employee,Unique earnings,Educated,0.0
49,[(-24589)-(-8655)],Employee,Unique earnings,Educated,0.0
50,[(-23646)-(-8655)],Employee,Unique earnings,Educated,0.0
51,[(-24878)-(-8489)],Employee,Unique earnings,Educated,0.0
52,[(-22985)-(-9430)],Employee,Unique earnings,Educated,0.0
53,[(-24831)-(-8351)],Employee,Unique earnings,Educated,0.0
54,[(-24629)-(-9190)],Employee,Unique earnings,Educated,0.0
55,[(-24166)-(-8482)],Employee,Unique earnings,Educated,0.0
56,[(-24589)-(-8041)],Employee,Unique earnings,Educated,0.0
57,[(-24202)-(-8603)],Employee,Unique earnings,Educated,0.0
58,[(-23886)-(-9080)],Employee,Unique earnings,Educated,0.0
59,[(-24691)-(-8477)],Employee,Unique earnings,Educated,0.0
60,[(-24691)-(-8655)],Employee,Unique earnings,Educated,0.0
61,[(-23303)-(-8182)],Employee,Unique earnings,Educated,0.0
62,[(-24831)-(-8520)],Employee,Unique earnings,Educated,0.0
63,[(-24878)-(-9154)],Employee,Unique earnings,Educated,0.0
64,[(-24589)-(-8488)],Employee,Unique earnings,Educated,0.0
65,[(-24482)-(-9080)],Employee,Unique earnings,Educated,0.0
66,[(-24278)-(-8893)],Employee,Unique earnings,Educated,0.0
67,[(-23886)-(-9839)],Employee,Unique earnings,Educated,0.0
68,[(-24831)-(-8182)],Employee,Unique earnings,Educated,0.0
69,[(-24691)-(-9190)],Employee,Unique earnings,Educated,0.0
70,[(-23442)-(-8477)],Employee,Unique earnings,Educated,0.0
71,[(-24831)-(-8041)],Employee,Unique earnings,Educated,0.0
