id,DAYS_BIRTH,OCCUPATION_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,prediction
1,-12005,"",Working,Higher education,1.0
2,-12005,"",Working,Higher education,1.0
3,-21474,Security staff,Working,Secondary / secondary special,1.0
4,-19110,Sales staff,Commercial associate,Secondary / secondary special,1.0
5,-19110,Sales staff,Commercial associate,Secondary / secondary special,1.0
6,-19110,Sales staff,Commercial associate,Secondary / secondary special,1.0
7,-19110,Sales staff,Commercial associate,Secondary / secondary special,1.0
8,-22464,"",Pensioner,Higher education,0.0
9,-22464,"",Pensioner,Higher education,0.0
10,-22464,"",Pensioner,Higher education,0.0
11,-16872,Accountants,Working,Higher education,1.0
12,-16872,Accountants,Working,Higher education,1.0
13,-16872,Accountants,Working,Higher education,1.0
14,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
15,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
16,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
17,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
18,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
19,-17778,Laborers,Commercial associate,Secondary / secondary special,1.0
20,-10669,Accountants,Working,Incomplete higher,1.0
21,-10669,Accountants,Working,Incomplete higher,1.0
22,-10031,Laborers,Working,Secondary / secondary special,1.0
23,-10031,Laborers,Working,Secondary / secondary special,1.0
24,-10031,Laborers,Working,Secondary / secondary special,1.0
25,-10968,"",Working,Secondary / secondary special,0.0
26,-10968,"",Working,Secondary / secondary special,0.0
27,-10968,"",Working,Secondary / secondary special,0.0
28,-12689,Laborers,Working,Secondary / secondary special,1.0
29,-12689,Laborers,Working,Secondary / secondary special,1.0
30,-11842,Managers,Commercial associate,Higher education,1.0
31,-11842,Managers,Commercial associate,Higher education,1.0
32,-11842,Managers,Commercial associate,Higher education,1.0
33,-11842,Managers,Commercial associate,Higher education,1.0
34,-11842,Managers,Commercial associate,Higher education,1.0
35,-11842,Managers,Commercial associate,Higher education,1.0
36,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
37,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
38,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
39,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
40,-20502,Drivers,Commercial associate,Secondary / secondary special,0.0
