id,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AMT_INCOME_TOTAL
2,-12005,-4542,"",M,Working,Higher education,Civil marriage,Rented apartment,427500
9,-22464,365243,"",F,Pensioner,Higher education,Separated,House / apartment,283500
4,-19110,-3051,Sales staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,270000
3,-21474,-1134,Security staff,M,Working,Secondary / secondary special,Married,House / apartment,112500
10,-22464,365243,"",F,Pensioner,Higher education,Separated,House / apartment,283500
5,-19110,-3051,Sales staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,270000
6,-19110,-3051,Sales staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,270000
1,-12005,-4542,"",M,Working,Higher education,Civil marriage,Rented apartment,427500
7,-19110,-3051,Sales staff,F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,270000
8,-22464,365243,"",F,Pensioner,Higher education,Separated,House / apartment,283500
